lipidid,pvalues_ALD_CTRL,logf2c_ald_ctrl,lipid,pvalue_wo_fam_1,pvalue_wo_fam_2,pvalue_wo_fam_3,pvalue_wo_fam_4,pvalue_wo_fam_5,pvalue_wo_fam_6,pvalue_wo_fam_7,pvalue_wo_fam_1_2,pvalue_wo_fam_1_3,pvalue_wo_fam_1_4,pvalue_wo_fam_1_5,pvalue_wo_fam_1_6,pvalue_wo_fam_2_3,pvalue_wo_fam_2_4,pvalue_wo_fam_2_5,pvalue_wo_fam_2_6,pvalue_wo_fam_3_4,pvalue_wo_fam_3_5,pvalue_wo_fam_3_6,pvalue_wo_fam_4_5,pvalue_wo_fam_4_6,pvalue_wo_fam_5_6,log2fc_wo_fam_1,log2fc_wo_fam_2,log2fc_wo_fam_3,log2fc_wo_fam_4,log2fc_wo_fam_5,log2fc_wo_fam_6,log2fc_wo_fam_7,log2fc_wo_fam_1_2,log2fc_wo_fam_1_3,log2fc_wo_fam_1_4,log2fc_wo_fam_1_5,log2fc_wo_fam_1_6,log2fc_wo_fam_2_3,log2fc_wo_fam_2_4,log2fc_wo_fam_2_5,log2fc_wo_fam_2_6,log2fc_wo_fam_3_4,log2fc_wo_fam_3_5,log2fc_wo_fam_3_6,log2fc_wo_fam_4_5,log2fc_wo_fam_4_6,log2fc_wo_fam_5_6
TG(50:1) ,0.169774525815981,0.372835643353239,TG(50:1) ,0.8515097319538559,0.33247180317757696,0.38743898817471706,0.460105314250622,0.6758065189977149,0.518058895928856,0.47960639019402007,0.743961897275919,0.895482462117635,0.9319265319891199,0.200918902156905,0.7934027163259609,0.248026779439325,0.318573912075787,0.5123284338956879,0.37333300762908206,0.37480758592990004,0.5747462080045661,0.430553589599784,0.655887434418447,0.504834296073742,0.72041627513367,0.0351843925437869,-0.502078443079732,-0.431573013840879,-0.387194718550155,-0.21288759841394603,-0.338790345152649,-0.306223287748928,-0.124282631546539,-0.0361508449979695,0.0193220241154322,0.237205924285695,0.079827490862316,-0.7077293895273701,-0.65225652041397,-0.434372620243707,-0.5917510536670849,-0.564124733865399,-0.34624083369513603,-0.503619267118516,-0.29076796458173604,-0.448146398005115,-0.230262497834852
TG(50:0) ,0.5781501075199351,0.565864446689691,TG(50:0) ,0.30134275927778803,0.9855490843067409,0.5874332201006589,0.966049330278665,0.741102040038802,0.8670228964494109,0.8714626989389042,0.422761428698496,0.655283163162591,0.464372581809464,0.163816761359992,0.30656531815495897,0.462707475135151,0.858103166147418,0.8570162544448828,0.9780619843231569,0.39368484200845505,0.757208552803542,0.6147660160396751,0.901714461688741,0.9761184980325891,0.7452388941988041,0.44382329089445205,-0.430838745693614,-0.7474707539707359,-0.37588434740687804,0.12443654552523101,-0.182881810899356,-0.19480263692515,0.308434636888773,-0.0873553734576298,0.377127634747193,1.00252875091233,0.618380805381595,-1.18068291919271,-0.71619991098789,-0.0907987948227533,-0.47494674035348794,-1.11198992133429,-0.486588805169156,-0.870736750699891,-0.022105796964332996,-0.406253742495068,0.21914737367007003
TG(51:6) ,,,TG(51:6) ,0.42308983055267296,0.0913141175926139,0.35544101307274,0.23513038047304102,0.32088014373911405,0.23531603780321103,0.20660596640827897,0.0989218910571476,0.8079867572677271,0.497296903504291,0.7050354870048771,0.49773633329254,0.197522627479223,0.102354215027238,0.17280293111855402,0.102512825077506,0.403644252816168,0.519730071432441,0.40389406872746997,0.365838570052329,0.271398419522631,0.36607347305901794,-0.246990329037999,-0.442627523219129,-0.259628363338049,-0.39338462073512204,-0.308557474433275,-0.376363938596629,-0.337925374893367,-0.355134252981359,-0.126385303130009,-0.293580624876351,-0.187546691999043,-0.272304772203235,-0.370931795856421,-0.538127117602763,-0.432093184725454,-0.5168512649296461,-0.309378167751413,-0.20334423487410397,-0.28810231507829603,-0.3705395566204461,-0.455297636824638,-0.349263703947329
TG(51:5) ,0.0746703125894081,0.51165594464969,TG(51:5) ,0.900000360855088,0.32764083459915994,0.483078445708659,0.393072715471609,0.401316491806816,0.3824155266384461,0.390839695429326,0.602051628834463,0.21421252893456696,0.954877395240256,0.9085950918064509,0.9851828838079641,0.42118420432144105,0.334412835991645,0.34250113021125606,0.32391767387049997,0.491960024863502,0.500801944974846,0.480509980644553,0.41000315837663004,0.390781913195156,0.399104187393401,-0.00242979059470505,-0.330549216357989,-0.23068839293621898,-0.298941903388766,-0.294133765590495,-0.31159502792725896,-0.244723016132572,-0.0491392344920083,0.0756867947852031,-0.00963009328048026,-0.0036199210326421896,-0.0254464989535967,-0.334462487418901,-0.419779375484585,-0.41376920323674604,-0.43559578115770203,-0.294953346207373,-0.288943173959535,-0.31076975188048905,-0.37426006202521794,-0.396086639946173,-0.390076467698334
TG(51:4) _RT_15.564,0.0511163969758875,0.35803742224990703,TG(51:4) _RT_15.564,0.523237888199354,0.6477015007651761,0.779329083756965,0.5012014996747021,0.411258279807742,0.593012617078811,0.623956618832443,0.5128600014679311,0.15841779754565,0.792977773536201,0.9797335230238571,0.623209446913572,0.8039044003416841,0.532383810799126,0.44192562019727094,0.623032548128429,0.6537513871483249,0.560390662700451,0.747828240078431,0.29922271496842895,0.48003076772812797,0.3897810905669671,0.0894723189910236,-0.143409427767994,-0.0846580066141014,-0.203026726137976,-0.231059042007807,-0.166879631964639,-0.123260085916916,0.11746874290416301,0.190908019346528,0.0429471199416849,0.00790672510439272,0.0881309876583538,-0.10019416410224401,-0.24815506350708702,-0.283195458344379,-0.202971195790418,-0.174715787064722,-0.209756181902012,-0.129531919348052,-0.35771708130685603,-0.27749281875289505,-0.31253321359018704
TG(51:3) _RT_15.734,0.0276125688465524,0.345635409947799,TG(51:3) _RT_15.734,0.9994697916664259,0.44025483505395396,0.766772976056616,0.33989278127309,0.330596380831823,0.55241500265526,0.480857055840381,0.909262898227279,0.24735488135993802,0.7278054392635099,0.7096641108385451,0.889949802556075,0.7145973014412909,0.305896436866082,0.29636493933470304,0.5165762243692221,0.591353842268774,0.579657957500857,0.8517869506479431,0.19806733541023702,0.41171795906530395,0.401834611607695,-0.0172387364301416,-0.271672671303523,-0.11504022611394302,-0.321838104249108,-0.31678361475719796,-0.22222687458418697,-0.21080003790635002,-0.0449392028075559,0.15085135367942,-0.10764599398953802,-0.10132788212464999,0.0168680430916144,-0.167191064912307,-0.42568841258126294,-0.41937030071637704,-0.301174375500112,-0.229897856094288,-0.223579744229402,-0.10538381901313801,-0.48207709189835796,-0.3638811666820929,-0.357563054817207
TG(51:2) _RT_15.908,0.0997686494657437,0.3904161982142371,TG(51:2) _RT_15.908,0.728620197591587,0.153505887253874,0.508921301386366,0.297151747430459,0.443162585922803,0.37713227980762803,0.330336832197104,0.23402968322697698,0.7946091725742289,0.643490691167105,0.9857126861175841,0.8243326660166809,0.28970912978209196,0.116312263074798,0.241037244457394,0.18627458139443398,0.47468981956004,0.652367161129331,0.571733382498874,0.412490657284289,0.3479255564921939,0.502840625834829,-0.166672412338484,-0.6316962479247789,-0.33506892076399497,-0.550908024969348,-0.435168990360498,-0.476107243940645,-0.432603640049626,-0.349055365254642,0.0217287936963375,-0.248070086560353,-0.10339629329929,-0.154569110274474,-0.559551000786532,-0.829349881043222,-0.684676087782159,-0.7358489047573441,-0.45856572209224,-0.313891928831178,-0.36506474580636405,-0.583690809087869,-0.634863626063054,-0.490189832801991
TG(51:1) _RT_16.081,0.26285595986541505,0.44896160019893794,TG(51:1) _RT_16.081,0.653534170947465,0.32740343907107,0.556231857110239,0.4824232853262229,0.697428447058827,0.591700171669527,0.553894658357609,0.7100882742990141,0.6890067208921701,0.8491516906226819,0.285229120185755,0.605893801921648,0.334601876680723,0.26400630582962,0.460516190229041,0.367526683679636,0.492314482836286,0.70216388485468,0.599974591295926,0.625336907001158,0.526334102312389,0.7390911713963481,0.0439135142379703,-0.7016257830529399,-0.536690098802485,-0.587088155757416,-0.37404455879153403,-0.47629186293880105,-0.438637824184201,-0.16418359974241,0.0419860055706591,-0.0210115656230054,0.245292930584349,0.117483800400263,-0.88993811604298,-0.952935687236644,-0.6866311910292889,-0.8144403212133751,-0.746766081923575,-0.48046158571622,-0.608270715900306,-0.543459156909885,-0.6712682870939711,-0.404963790886617
TG(52:7) ,0.173943822898427,0.602712654952709,TG(52:7) ,0.506457006465661,0.0962880610301213,0.36053288302472597,0.304904818011544,0.38365937124341204,0.24404395238940899,0.23972041886672601,0.0933252386320784,0.802917038126448,0.661869590022605,0.8730234542943109,0.5188651988683021,0.179562860442526,0.13639585135583301,0.19580870776765,0.0861249644776759,0.44880728395342295,0.546463837359561,0.37418136222043297,0.47513620366237497,0.31644281781628497,0.3978482528859629,-0.188377446568439,-0.372441558822085,-0.201230943012269,-0.2776785412375011,-0.183166743512672,-0.309105489875268,-0.25533345383803896,-0.318023575981097,-0.10401030621882598,-0.19956980400036603,-0.0814300568443302,-0.23885348979757398,-0.33409044653588393,-0.429649944317424,-0.311510197161388,-0.468933630114632,-0.21563667455515304,-0.097496927399118,-0.254920360352362,-0.19305642518065802,-0.350479858133902,-0.23234011097786603
TG(51:0) ,0.603387587534708,0.20958169651910802,TG(51:0) ,0.395024759923525,0.481080688964675,0.538222561114791,0.613416578295305,0.8109585325104409,0.738096079666915,0.6889405362175921,0.7624001369544201,0.675359620277466,0.559828168461011,0.155962378846133,0.331012167440471,0.34162090577781296,0.4172894974742489,0.603984751940979,0.537407386451234,0.474451295195957,0.6613561543443729,0.594175711210148,0.736248821629754,0.668098174047825,0.8603717646647521,0.130570284261814,-0.4849640263425711,-0.488343635011127,-0.392393341499479,-0.18775306406727102,-0.27007303779157105,-0.282159470075034,-0.0197529724883945,-0.0239774833240902,0.0959603835654705,0.351760730355729,0.24886076320035502,-0.793395371579571,-0.67345750469001,-0.41765715789975105,-0.520557125055125,-0.6776820155257061,-0.421881668735447,-0.524781635890821,-0.301943801845887,-0.404843769001261,-0.14904342221100197
TG(52:6) ,0.15277955812767802,0.47655471929019605,TG(52:6) ,0.592083827547334,0.270783194728055,0.371069366595433,0.34497003332563697,0.374812289032197,0.30932174513285904,0.31400652712723603,0.17562407083732298,0.9289438481229849,0.7470193317365681,0.959693454548475,0.511900235535774,0.330296537878682,0.30451655233270697,0.33396768557129,0.26881693424993897,0.41124557932979205,0.44333188589985995,0.37260521185659795,0.41516553913883203,0.345973824695628,0.37640390647811894,-0.0396567739852802,-0.258233877236531,-0.190856281906447,-0.211016896665609,-0.183718671845483,-0.23626968143834803,-0.186625363846284,-0.0924252682578413,-0.00820327409523447,-0.0334040425441877,0.000718738480970593,-0.0649700235101101,-0.281424653159299,-0.30662542160825296,-0.272502640583094,-0.338191402574175,-0.222403427445645,-0.18828064642048803,-0.253969408411568,-0.21348141486944103,-0.279170176860521,-0.24504739583536497
TG(52:5) ,0.12236085722390899,0.398566680147534,TG(52:5) ,0.20563408134362998,0.80507995902299,0.6153674276517299,0.6278872517930811,0.538410399727698,0.64345770184374,0.704948561850697,0.0168459201039171,0.373011426011315,0.356321608638667,0.442914554292011,0.33398229451377803,0.71796780388547,0.7303007155653269,0.641900587973234,0.745630887094221,0.549250724028081,0.460955956072215,0.5644058638955639,0.473327631178907,0.5766066847346619,0.488634539959391,0.11875947505286001,-0.0131622232531861,-0.0943509963929019,-0.0990583044404394,-0.132512618939828,-0.0894011941159825,-0.0516209770149132,0.209428030271962,0.10794206384731801,0.10205792878789699,0.06024003566365901,0.114129316693466,-0.0569600590352408,-0.062844194094664,-0.10466208721889998,-0.0507728061890926,-0.16433016051930402,-0.206148053643542,-0.152258772613735,-0.212032188702965,-0.158142907673158,-0.199960800797395
TG(52:4) ,0.0843039621357751,0.327337545248389,TG(52:4) ,0.29461906031215995,0.838858270487272,0.898607578099331,0.6887465846227111,0.69495725428431,0.8925777593448159,0.9716390929895699,0.0505543046602561,0.393065593415747,0.5746738530013311,0.5705025057958261,0.399465659364608,0.918491504067495,0.8840004685528641,0.8897924194390641,0.9242692256616322,0.627320785003897,0.633517175659975,0.827129283113634,0.402558362253111,0.621015498477594,0.6272321817931159,0.14700550976515803,0.0710577698219019,-0.0158771734244709,-0.0916112690810156,-0.0772138315630162,-0.0193688984431901,0.0023320178458945398,0.269081072714984,0.16041239365701698,0.0657447740863368,0.0837415709838343,0.15604773738361802,0.0654777187279496,-0.0291899008427325,-0.0111931039452351,0.0611130624545488,-0.137858579900699,-0.119861783003202,-0.0475556166034181,-0.21452940257388398,-0.14222323617410002,-0.124226439276601
TG(52:3) ,0.0386428555538196,0.27600852801568704,TG(52:3) ,0.44491013599194507,0.8785244645576771,0.763588857319413,0.403636141616515,0.635770699406224,0.7027362574389039,0.7394860257902421,0.209864401446126,0.4357966594401,0.9861090384995299,0.6301491413051911,0.533462004367805,0.900887892984417,0.541938354366432,0.7743622781738259,0.8404987457452969,0.4371626474930979,0.667212674163739,0.7320500526622941,0.30910127910581703,0.37754952168108896,0.6090324744065551,0.0793785821559396,-0.0114192631970784,-0.0445738963670461,-0.129545327458336,-0.0762826515980759,-0.0593255441274909,-0.0402946834320144,0.14539117384659803,0.10394788238413699,-0.0022664064799737802,0.0643119383453516,0.08550832268358201,-0.00954942430713324,-0.115763713171246,-0.049185368345924,-0.0279889840076919,-0.157207004633705,-0.0906286598083827,-0.0694322754701506,-0.19684294867249,-0.17564656433426,-0.109068219508936
TG(52:2) ,0.0489597981067112,0.271831704811605,TG(52:2) ,0.7042253619013779,0.47297387700078497,0.5531455618199871,0.294562595385543,0.501200227033647,0.50942769578169,0.47529949377821507,0.7623839876605409,0.472261339079506,0.27139446187279104,0.6706050668343411,0.6423771753502661,0.5565752243366371,0.295365891572193,0.5055374698766261,0.513661778186125,0.36885278363845403,0.5856046609691321,0.594051379613516,0.32166310002425497,0.32924760634235,0.542082405670234,0.0292548852968402,-0.14300704216032,-0.116940292364784,-0.196542754620715,-0.132951070971588,-0.12990495948900901,-0.11501520571826199,0.0303326124980483,0.0629160497424639,-0.0365870280774487,0.0429025764839572,0.0467102158371819,-0.152411359578984,-0.251914437398897,-0.17242483283748902,-0.168617193484268,-0.21933100015447798,-0.13984139559307002,-0.136033756239849,-0.239344473412988,-0.23553683405976103,-0.156047229498355
TG(52:1) ,0.48025442445956895,0.5661758310268461,TG(52:1) ,0.34446343130578494,0.971606971364924,0.49162162769125,0.8984102388501729,0.841313694588304,0.946457712008643,0.961248505025578,0.431562400315082,0.7790977698104781,0.502687579456964,0.21291060094503897,0.34233337264759006,0.4309998266115,0.839292308457091,0.911901216975951,0.9883366098209999,0.335745187259225,0.6409725892126379,0.528314771776734,0.9806445721569009,0.9190150865576899,0.833802960922198,0.33257939499360994,-0.446702061073476,-0.720394488224573,-0.45272117128520206,-0.06607634169018001,-0.26336707172663304,-0.26944695650107503,0.261517102151782,-0.0805984317870898,0.253993214387123,0.7372992513808991,0.490685838835335,-1.05470025187095,-0.7201086056967341,-0.23680256870295802,-0.4834159812485229,-1.0622241396356,-0.578918102641828,-0.825531515187393,-0.244326456467615,-0.49093986901318104,-0.00763383201940293
TG(53:7) ,0.154511266181096,0.717162743661256,TG(53:7) ,0.166536252051245,0.15474717503321697,0.271312153738753,0.17715912237526998,0.233386240024595,0.17456790173892497,0.162936661555237,0.13490711446076,0.328363048386036,0.206130849670784,0.347345512787963,0.19822661393111496,0.269302966061071,0.16882066839521803,0.22948905704816602,0.165978149926043,0.299907376742267,0.375293246853332,0.296395363247046,0.25799403799355397,0.19167422741538503,0.25472203853583303,-0.261385989354412,-0.568640189054447,-0.406113451365236,-0.5526930781579,-0.47757861949267405,-0.5483259138711961,-0.46912287354931104,-0.33384841268710697,-0.130689990575594,-0.313914524066423,-0.22002145073489104,-0.30845556870804397,-0.5147577402006379,-0.697982273691467,-0.6040892003599351,-0.692523318333087,-0.49482385157995395,-0.40093077824842205,-0.489364896221574,-0.584155311739251,-0.672589429712403,-0.578696356380872
TG(52:0) ,0.308499032522405,-0.0823637530740724,TG(52:0) ,0.22736640193738503,0.497334942257211,0.9605245690635329,0.554660794761474,0.376733290841801,0.408720310235701,0.404051690490168,0.30941685972855,0.34981883455172197,0.357088112659467,0.200704766295749,0.23031263267287697,0.805462221623403,0.663989914954886,0.47441941120880604,0.5086547660925179,0.5789817798224101,0.8623046447469641,0.94540042841599,0.529320423883802,0.5650532628692471,0.38734430967168304,0.807107065640828,0.0617775399704539,-0.421866684551936,0.122006533162184,0.46267701144435497,0.327834485805715,0.22658932524526604,0.746221769146203,0.141666488493215,0.821508010635865,1.2473461084885802,1.07879295144028,-0.789995418594753,-0.110153896452102,0.31568420140061,0.147131044352311,-0.7147091771050901,-0.288871079252377,-0.457424236300676,0.39097044289027294,0.22241728584197398,0.648255383694687
TG(53:6) ,0.0882715201149431,0.49218019957511,TG(53:6) ,0.25148638204026996,0.12076057913073801,0.293841626309486,0.20339112874840196,0.18574450225935898,0.148996257221845,0.14929797439218803,0.178610700479663,0.48643315808994503,0.395031902612116,0.35260009649572,0.258117655391392,0.260334552298695,0.171846407769305,0.153606028416501,0.11505034886242199,0.388282599922164,0.36151334955968895,0.305117149315958,0.25392743065343304,0.208054508545829,0.18857313773514003,-0.144018541357833,-0.293013930500058,-0.176695440824675,-0.252164663119862,-0.26122553383453695,-0.28314959687712105,-0.23504461775234803,-0.19372366319384304,-0.0483255510996132,-0.14266207896859698,-0.15398816736194,-0.181393246165171,-0.234569787527395,-0.328906315396378,-0.34023240378972197,-0.36763748259295204,-0.18350820330215,-0.194834291695494,-0.22223937049872397,-0.289170819564477,-0.316575898367707,-0.32790198676105103
