,pval,ptot,ols,log2fc_overall,log2fc,log10p,log10t
PC(38:1),0.49197597039672614,0.12621968552915025,0.49197597039672514,-0.3450783551294565,0.35616180338340087,0.30805610897849567,0.8988729061856838
PC(39:6),0.6045535243411027,0.0976276299551292,0.6045535243411019,0.5213695126271727,0.21476009333192714,0.21856524269908723,1.0104272536563508
PC(39:5),0.2663835684861608,0.09663842529141431,0.2663835684861615,0.406467668847617,-0.3528056932142043,0.5744925675493192,1.0148501554284615
PC(39:4),0.1370592896496648,0.1305779309940725,0.13705928964966513,0.2562632184656435,-0.34752377644327725,0.8630915233724855,0.884130217068484
PC(40:8),0.4275851259912161,0.5800606577064744,0.42758512599121756,-0.1586931348679954,-0.1678226440450068,0.3689774106014521,0.23652658931674966
PC(40:7),0.742174542055275,0.5398448508585723,0.7421745420552739,0.24657309008312112,0.05174151229399726,0.12949394682708645,0.26773103665386644
PC(40:6),0.6080024891130436,0.047878452782366895,0.6080024891130421,0.532029784989116,0.09464606367949102,0.2160946427571222,1.3198598924957319
PC(40:5),0.11810439979964968,0.17499560280079543,0.11810439979965019,0.2595515587842758,-0.22993658427118202,0.9277339231052256,0.7569728639042363
PC(40:4),0.015572863409227151,0.6290192288875249,0.01557286340922719,0.06999869279442805,-0.3988552957548128,1.8076315256148112,0.2013360781284983
PC(40:3),0.6768620742870841,0.04427432157224686,0.6768620742870854,-0.4943303982190219,-0.05627633172689417,0.16949981946645815,1.3538480849021328
PC(40:2),0.6122484389094134,0.0003224063057653929,0.6122484389094125,-4.724847765307349,0.2237697918118624,0.21307231355137707,3.491596472659958
PC(42:10),0.8663567090275162,0.6833952798367735,0.8663567090275184,0.12493392743133969,-0.1492322303943321,0.06230325709856294,0.16532802516839784
PC(42:9),0.34020097543233924,0.8239948342794352,0.34020097543234057,-1.5787771993178077,-0.28330314141138047,0.46826444550218266,0.08407551093755476
PC(42:8),0.08378470290878533,0.952988079588413,0.08378470290878563,-0.06847994789001821,-0.36099533793274907,1.076835265960821,0.02091253168208498
PC(42:7),0.44274655213833924,0.9565470128625854,0.44274655213833836,0.13531421684490308,0.2463515969695773,0.3538448121664004,0.019293680184465783
PC(42:6),0.15917566663455499,0.9019481648136125,0.15917566663455532,-0.13179860131398025,-0.3169839566057946,0.7981233226162964,0.04481842075327074
PC(42:5),0.6239528611651726,0.5605944990634306,0.6239528611651708,-0.16446016061024293,0.08512662156898743,0.20484821946685675,0.2513511681492588
PC(42:4),0.22624594812184523,0.0009331723000015351,0.22624594812184567,-2.224083273935879,-0.3772458650594126,0.6454191899087539,3.0300381611502814
PC(42:2),0.9043430923147668,1.212366965210043e-06,0.904343092314765,-6.596158895624638,0.006388674997771737,0.04366677435771537,5.916365905876215
PC(44:5),0.7911355624272047,2.560950082419442e-05,0.7911355624272063,-2.9655550780360613,-0.18994745358733356,0.10174909302606686,4.591598886639367
PC(44:4),0.12319366888085763,2.5865662574184303e-06,0.12319366888085793,-4.568121800328331,-0.5100898227107149,0.9094116106842475,5.587276392235508
PC(44:3),0.9481838700214451,2.7417235599621138e-06,0.9481838700214468,-10.071532672405949,-0.11897254705809968,0.023107436931281974,5.561976335992639
PC(44:2),0.4510094067872873,3.295857073281124e-06,0.4510094067872881,-10.958964543188074,-0.1501828484227581,0.34581439986659174,5.482031629994098
PC(46:5),0.22013662678638374,9.292329902034562e-07,0.22013662678638443,-7.937521274773375,-0.41733515455587034,0.6573076926223046,6.031875380007205
PC(46:4),0.05595929569026185,5.976102194641357e-06,0.055959295690261986,-11.745993286146687,-0.6969860629748774,1.2521277602230572,5.223581984454148
PC(O-32:2),0.3512023236447129,0.2580008624802392,0.3512023236447137,0.21373273344246324,-0.23143969091689276,0.45444261935267105,0.5883788422159073
PC(O-32:0),0.5196167762021606,0.3315561876934663,0.5196167762021615,0.15570613824062196,-0.1252048713413645,0.2843168358622689,0.4794428626213671
PC(O-34:2),0.10947860874847708,0.1733990145250286,0.10947860874847776,-0.2624305088265544,-0.2440512500208536,0.9606707302306616,0.7609533750694873
PC(O-34:1),0.8396988671724288,0.08514939697184375,0.8396988671724301,0.726548530633849,-0.2636885285544732,0.07587643271520529,1.0698184233646573
PC(O-36:6),0.3034377301133364,0.7282687352617627,0.30343773011333697,-0.10338339726259616,-0.6472552256319486,0.5179304190626469,0.1377083340039143
PC(O-36:5),0.0035310358668013933,0.17202428036546896,0.0035310358668014033,0.2946013902765623,-0.5995656282811375,2.4520978710308374,0.7644102502754053
PC(O-36:4),0.05696888025073737,0.5516265244447518,0.05696888025073753,0.1249121832576412,-0.38656381172421383,1.2443623167150784,0.2583548593507264
PC(O-36:3),0.27180172856055584,0.1985215673964851,0.271801728560554,-0.28473933064923695,0.1741077265727995,0.5657477856391244,0.7021923045559292
PC(O-36:2),0.9744053537404701,0.7938963628430108,0.9744053537404682,-0.12413981427959797,0.1035851547913964,0.011260338531441838,0.10023618772790086
PC(O-34:2) [M+OOH]+,0.4237882042735076,0.17339141747683956,0.42378820427350755,-0.4200697733287375,-0.40361645619119235,0.3728511356153595,0.7609724030229907
PC(O-37:5),0.013433455184215206,0.8716834623891074,0.013433455184215244,0.234820453431265,-1.1312351402366616,1.8718122692044386,0.05964119338715168
PC(O-38:7),0.6767519499703167,0.28547423747216416,0.6767519499703178,0.3136483962257648,-0.05642953536848738,0.16957048419413367,0.5444330784111843
PC(O-38:6),0.8503117750235233,0.24130978611069479,0.8503117750235248,0.24207474679884022,-0.022922289433893184,0.07042180681980144,0.6174250652951336
PC(O-38:5),0.23487649801377727,0.06491388378494413,0.23487649801377825,0.4577847734752565,-0.16807017574839023,0.6291604370051269,1.1876624063378105
PC(O-38:4),0.29436843671105306,0.4185606134651867,0.29436843671105406,0.15986911896642297,-0.16611576937478034,0.531108758523034,0.3782416411657796
PC(O-38:3),0.7232469229217191,0.12119381042749498,0.7232469229217162,-0.4446558764783979,0.053644684299131384,0.14071340539648217,0.9165195597557552
PC(O-38:2),0.36000314992581034,0.39541185910687204,0.3600031499258096,-0.29122168107723945,0.2924831090446187,0.443693699262121,0.40295030956094025
PC(O-40:8),0.9917494192907091,0.27196313367675173,0.9917494192907104,0.3336890315803913,0.05031365251177622,0.0035980451506754394,0.565489963340401
PC(O-40:7),0.9756252935024925,0.014878181487992184,0.9756252935024945,0.7334493336234997,-0.025532377463530764,0.010716948942392614,1.8274501479563903
PC(O-40:6),0.9727021068314723,0.020646750065550785,0.9727021068314702,0.4937020437930233,0.01827414943474981,0.01202014346008718,1.6851482994398364
PC(O-40:5),0.4229309304346389,0.16387017869139792,0.4229309304346401,0.23003354443789537,-0.09463284963540453,0.37373055220028284,0.7855000727146649
PC(O-40:4),0.6453932378776761,0.8376304320585743,0.6453932378776774,-0.10500595397730805,-0.13037536430668517,0.1901755892385844,0.07694755263410405
PC(O-40:3),0.2052027368329012,0.008912749947477042,0.20520273683290072,-0.6997662550434351,0.2673411645371533,0.687816851242967,2.049988277696831
PC(O-40:2),0.05680979648986039,0.04301283999312173,0.056809796489860155,-0.7950272312086993,0.4243844218305022,1.2455767664961783,1.3664018814956151
PC(O-40:1),0.39194043048794236,0.16230035369098414,0.3919404304879416,-2.4210872024506522,0.2006015623345898,0.40677993470472484,0.7896805337420039
PC(O-42:8),0.2051613750789674,0.25483732326443653,0.20516137507896715,0.29486758150131664,0.3344038042215858,0.6879043987698324,0.5937369652663026
PC(O-42:7),0.3469932663534572,0.5534706553679127,0.3469932663534565,0.14314899540791926,0.21618323579793852,0.4596789529149226,0.2569054001685062
PC(O-42:6),0.5198060182015898,0.8617927148247728,0.5198060182015882,0.004682652037145019,0.0893573325182313,0.2841586966383708,0.06459718154583381
PC(O-42:5),0.8193990823446545,0.557607850568101,0.8193990823446526,-0.26315547600034783,0.02154651416363862,0.08650452675446056,0.25367112042940665
PC(O-42:4),0.8415260903657183,0.01539605320921586,0.8415260903657213,-0.8694820975458311,-0.04337902754595557,0.074932414772874,1.8125905966402616
PC(O-42:3),0.2056085706386306,0.05069320888853494,0.2056085706386302,-0.933935414825898,0.3898962034244917,0.6869587860605925,1.2950502169936984
PC(O-42:2),0.34938170803790647,0.20779912910924556,0.3493817080379058,-0.9964265768946856,0.222096143203399,0.4566998363483779,0.6823562769128239
PC(O-43:5),0.6565712651120843,0.18848704112872341,0.6565712651120869,-1.9297438511984817,-0.10234144690650888,0.1827181281195281,0.7247185030695932
PC(O-43:4),0.059287353604681035,1.625542191400924e-06,0.059287353604681216,-3.469302133608633,-0.2952235873673019,1.227037934720552,5.789001753787167
PC(O-44:8),0.23929286096144836,0.31013668001294725,0.23929286096144806,0.22184653790939635,0.275520716179648,0.6210702578901054,0.5084468665096522
PC(O-44:7),0.2611981839895552,0.8995898761865107,0.26119818398955463,-0.052334081554880285,0.2706579322854479,0.583029846868851,0.04595544067646107
PC(O-44:6),0.3486951374263387,0.6325703573869847,0.34869513742633784,-0.24881026798065076,0.2037489718537291,0.4575541088432188,0.19889116323422218
PC(O-44:5),0.4302484685989062,0.604136291353725,0.430248468598905,-0.5421263809564341,0.12395493896860188,0.3662806667998867,0.21886507477995776
PC(O-44:4),0.7255774480952439,0.003257471092921663,0.7255774480952417,-1.5319953409444378,0.04554963627666675,0.13931622418390138,2.4871194295648213
PC(O-44:3),0.2256911953884035,0.0179518487568979,0.2256911953884031,-2.1808088979655422,0.47796523145250014,0.6464853831854953,1.7458908193099263
PC(O-46:9),0.29589396743513163,0.39821246559600587,0.2958939674351311,0.24834263386784083,0.30964356183403735,0.5288638889669124,0.39988514899263095
PC(O-46:8),0.1474290273771186,0.5074455933522459,0.14742902737711838,0.1548297114628272,0.36688827305548166,0.8314169995937783,0.29461051454487475
PC(O-46:7),0.21017866818579078,0.8548330604934776,0.2101786681857902,-0.22093120177866732,0.45474921336883023,0.6774113642322186,0.06811868993305407
PC(O-46:6),0.357135997731817,0.24350044893569192,0.35713599773181604,-0.659661196588265,0.22772006423593139,0.4471663726345412,0.6135002337507267
PC(O-46:5),0.45377319735889426,0.11359420151913585,0.4537731973588932,-1.306546265876994,0.16104549249391065,0.34316115980167344,0.9446438368689641
PC(O-48:7),0.22323926348887374,0.13531420576339304,0.2232392634888734,-1.609900030161477,0.6604596408208068,0.6512294189776565,0.8686566072398173
PS(35:1),0.6529599139134996,0.7561039738532378,0.6529599139134992,-0.3330992710032481,0.06700517513794679,0.18511347982836152,0.12141847941166273
PS(35:0),0.08861632388665755,0.07782458821266246,0.08861632388665762,0.6161602969232183,-0.5420497870043857,1.052486269976417,1.1088831685888014
PS(36:1),0.5572221130761424,0.032529545517419226,0.5572221130761448,-1.6542812659657904,-0.05035484991215533,0.2539716571504659,1.4877220043681856
PS(36:0),0.26734450666350756,0.7048597360298763,0.26734450666350784,-1.1686599903688015,-0.328889146687696,0.572928735260055,0.1518972970920435
PS(37:2),0.940369837975937,0.6075222343124886,0.9403698379759382,-0.320244046137403,0.0032594867368933578,0.026701309162886662,0.21643782297653194
PS(37:1),0.9121687392934983,0.4325668859772315,0.9121687392935007,-0.29217543949425817,-0.03068155184060295,0.03992481543751344,0.3639467298987925
PS(37:0),0.013819401040963552,0.3758535920616991,0.01381940104096359,0.16831010810885338,-0.37909098788478524,1.8595107796999883,0.4249812948122722
PS(38:4),0.992654566877247,0.0001520630719142422,0.9926545668772463,-3.596982760637876,-0.036122745784448185,0.0032018550279547717,3.817976240326126
PS(38:1),0.9646642140332213,0.3079611907771003,0.9646642140332201,-0.21477052671454988,-0.01482675715003623,0.01562383211756172,0.5115040097765581
PS(38:0),0.085529282988746,0.615487487576668,0.08552928298874628,0.06570858734614493,-0.3206996277845797,1.0678851687441304,0.2107807715411838
PS(39:4),0.88758004903529,0.6760588316532341,0.8875800490352912,-0.12924387482223576,-0.341178380752833,0.05179246837250175,0.1700155094568589
PS(39:3),0.10378540028485338,0.6035047477354412,0.10378540028485342,0.053995430731889726,-0.4139834460353349,0.9838637353283686,0.21931930898470467
PS(39:2),0.12005397525053833,0.7677150840657333,0.12005397525053896,-0.3157630770319795,-0.16386249757890425,0.9206234549256567,0.11479992629147708
PS(39:1),0.24825140686055241,0.1457747400063913,0.24825140686055314,-0.4659958687716905,-0.17910262136870259,0.6051082816440879,0.8363177244834248
PS(39:0),0.08451518564504391,0.5018213731858086,0.08451518564504415,-0.26902583295832905,-0.3557332895221341,1.0730652502300193,0.2994508454945386
PS(40:3),0.13621824669755012,0.48539764204600855,0.13621824669755034,0.12233182741984461,-0.481424087507178,0.8657647139409411,0.31390233770514375
PS(40:2),0.4275781583686631,0.4838910244646776,0.42757815836866375,-0.4803825153878445,-0.23595374387255053,0.3689844876125497,0.3152524334020477
PS(41:6),0.6857107587709902,0.7436523151213792,0.6857107587709887,-0.4435330706730456,-0.03724779462056116,0.163859036420264,0.1286300656869237
PS(41:5),0.37646641574176537,0.3212568794236042,0.3764664157417645,0.241456939949666,0.12736807541643635,0.42427376078755447,0.49314756354011874
PS(41:4),0.11914464897947855,0.9132320226376007,0.11914464897947881,-0.10381830433157546,-0.37818448416511874,0.9239254578988941,0.03941886830425855
